name,qualification,speciality,experience,languages,location,opd_timings,expertise,services,profile_url,hospital
Dr. P. Prakash,"MS, MCh Plastic Surgery (NIMS), Fellowship in Supermicrosurgery (S. Korea), Ex. Associate Professor-NIMS",Consultant Plastic and Reconstructive Surgeon,15 Yrs,"Telugu, Hindi, English",Hitec City,Day time OPD: MON – SAT : 9:00 AM – 4:00 PM,"Reimplantations, Microsurgery, Supermicrosurgery, Cosmetic Surgery, Lymphedema Management, Brachial Plexus Surgeries","Brachial Plexus Surgeries, Hand Surgery, All Types of Trauma and its Management, All Types of Reconstruction (Oncoplastic, Orthoplastic, Traumatic, etc.), Congenital & Vascular Anomalies, Entire Spect…",https://www.yashodahospitals.com/doctor/hitec-city/plastic-surgery/dr-p-prakash/,Yashoda Hospital Hitec City
Dr. P. Sai Sudharshan,"M.S., MRCS, M.Ch., DNB, FRCS(Neurosurgery)",Consultant Neurosurgeon,30 Yrs,"Telugu, Hindi, English, Tamil & Malayalam",Hitec City,Day time OPD: MON-SAT : 9:00 AM to 4:00 PM,"Brain Tumour Treatment, Craniotomy, Deep Brain Stimulation, Disc Replacement (Cervical/Lumbar), Kyphoplasty, Laminectomy","Micro neurovascular surgery and endovascular surgery., Skull base and C.V.Junction, Minimally invasive spine surgery",https://www.yashodahospitals.com/doctor/hitec-city/neuro-surgery/dr-p-sai-sudharshan/,Yashoda Hospital Hitec City
Dr. P. Siva Charan Reddy,"MS, MCh (Surgical Gastroenterology), FMAS, FIAGES, FICRS","Senior Consultant Surgical Gastroenterologist & Robotic Surgeon, Advanced Laparoscopic & Metabolic Surgeon, HPB & Colorectal Surgeon",18 Yrs,"English, Hindi, Telugu",Hitec City,Day time OPD: MON – SAT : 9:00 AM – 4:00 PM,"Advanced Laparoscopic and Robotic Surgery, Complex Abdominal Wall Hernias, Liver and Pancreatic Malignancies, Colorectal Malignancies, Complex and Recurrent Fistula-in-Ano","Gallbladder Stones, Hernia Repair (Robotic & Laparoscopic), Bariatric & Metabolic Surgeries (Weight Loss Surgeries), Hepatobiliary & Pancreatic Surgeries (Pancreatic & Liver Cancers, Acute & Chronic P…",https://www.yashodahospitals.com/doctor/hitec-city/surgical-gastroenterology/dr-p-siva-charan-reddy/,Yashoda Hospital Hitec City
Dr. Penmetsa Vijay Varma,"MD (General Medicine), DM (Nephrology)",Consultant Nephrologist,17 Yrs,"English, Hindi, Telugu, Kannada",Hitec City,Day time OPD: MON – SAT : 9:00 AM – 4:00 PM,Expertise info not available,"Evaluation and Management of Acute, Acute-On-Chronic and Chronic Kidney Disease Patients, Evaluation and Management of Rapidly Progressive Renal Failure Patients, Screening for Kidney Diseases in adul…",https://www.yashodahospitals.com/doctor/hitec-city/nephrology/dr-penmetsa-vijay-varma/,Yashoda Hospital Hitec City
Dr. Phani Sree Sagi,"MD Internal Medicine, Geriatrics (USA Board Certified) DM Geriatric Medicine (USA)",Sr. Consultant Physician,21 Yrs,"Telugu, Hindi, English, Kannada",Hitec City,Day time OPD: MON – SAT  : 09:30 AM – 05:00 PM,"Diabetes, General Medical Disorders, Infectious Diseases","General medicine , Geriatrics (Elderly care, Memory loss, Confusion and behavioral issues, Osteoporosis, Falls, Incontinence, Disability), Chronic Diseases (Diabetes, Hypertension, Thyroid disorder, h…",https://www.yashodahospitals.com/doctor/hitec-city/general-medicine/dr-phani-sree-sagi/,Yashoda Hospital Hitec City
Dr. R. V. Koteswara Rao,"MBBS, MS, M.Ch. (Plastic Surgery)-NIMS",Ex. Asso. Prof. – NIMSSpecialist in Hand Surgery & Brachial Plexus InjuriesConsultant Plastic & Reconstructive Surgeon,14 Yrs,"Telugu, English, Hindi & Arabic",Hitec City,Day time OPD: MON-SAT : 09:00 AM – 05:00 PM,"Brachial plexus injuries: Both Adult and OBPI-Full spectrum of treatment from nerve repairs/grafting, Opposite C7 transfers, Tendon transfers & free functional muscle transfers (FFMT) . , Peripheral n…","All general plastic surgery procedures ( skin grafting, local and regional flaps, microvascular flaps ), Upper and Lower limb trauma ( crush injuries ) and reimplantations, Lymphedema ( reductions and…",https://www.yashodahospitals.com/doctor/hitec-city/plastic-surgery/dr-r-v-koteswara-rao/,Yashoda Hospital Hitec City
Dr. Radhika Reddy Y.,"MBBS, DNB, MNAMS, MRCOG (UK), FICOG",Sr. Consultant Obstetrician & Gynaecologist Laparoscopic & Robotic Surgeon,23 Yrs,"Telugu, English, Hindi, Kannada",Hitec City,Day time OPD: MON – SAT : 09:00 AM – 4:00 PM,Pelvic Endoscopic Procedures,"Treatment for Dysmenorrhea , Treatment for Endometriosis, Treatment for Fibroids, Management of High Risk Pregnancies, Hysterectomy, Infertility",https://www.yashodahospitals.com/doctor/hitec-city/gynaecology/dr-radhika-reddy-y/,Yashoda Hospital Hitec City
Dr. Rajasekara Chakravarthi Madarasu,"MBBS, MD (Internal Medicine), DNB (Nephrology)","Senior Consultant Nephrologist, Clinical Director & HOD of Nephrology and Transplant Services",30 Yrs,"English, Hindi, Telugu",Hitec City,Day time OPD: MON – SAT : 9:00 AM – 4:00 PM,Expertise info not available,"Clinical Nephrology Services , Evaluation and management of Acute Kidney Injury (AKI), Comprehensive care for Chronic Kidney Disease (CKD) (all stages), Diabetic kidney disease management, R…",https://www.yashodahospitals.com/doctor/hitec-city/nephrology/dr-rajasekara-chakravarthi-madarasu/,Yashoda Hospital Hitec City
Dr. Rajasekhar Reddy K,"MBBS, MS (Gen Surg), MCh (Neuro Surgery)",Sr. Consultant Neuro & Spine Surgeon,22 Yrs,"English, Hindi, Telugu",Hitec City,Day time OPD: MON – SAT : 9:00 AM – 4:00 PM,"Neuro Oncology (Surgical Removal of both Benign and Malignant Spinal and Brain Tumours), Spine Surgery (Microdiscectomy, Spine Fixations, Spinal Trauma), Neuro Trauma (Head Injuries and Spinal Injurie…",Services info not available,https://www.yashodahospitals.com/doctor/hitec-city/neuro-surgery/dr-rajasekhar-reddy-k/,Yashoda Hospital Hitec City
Dr. Rajesh Alugolu,"MS, MCh (Neurosurgery)","Sr. Consultant Neurosurgeon-PDMDRC, Clinical Director-PDMDRC.",26 Yrs,"Telugu, Hindi, English, Tamil, Odiya, Bengali",Hitec City,Day time OPD: MON – SAT : 10AM – 4PM,"DBS and Stereotactic procedures, Skull base and Vascular neurosurgery, Spinal and Cranial Neuromodulation","DBS for Movement disorders and epilepsy, Epilepsy surgeries, Skull base tumors, Complex CVJ anamolies,  Neuromodulation",https://www.yashodahospitals.com/doctor/hitec-city/neuro-surgery/dr-rajesh-alugolu/,Yashoda Hospital Hitec City
Dr. Rajesh Goud E,"MBBS, MS, FMAS, MCh (Surgical Oncology)","Sr. Consultant Surgical Oncologist,Minimal Invasive & Robotic Surgeon",16 Yrs,"Telugu, English, Hindi",Hitec City,Day time OPD: MON – SAT : 9:00 AM – 4:00 PM,"Robotic Radical Hysterectomy, Robotic Pelvic and Paraaortic Dissection, Robotic Prostatectomy, Robotic Radical Cystectomy, Robotic Anterior Resection, Robotic Rectal Cancer Surgery","Robotic Surgery, Breast Cancer Management, Gynecological Cancer Treatment, Head and Neck Tumour/Cancer Surgery, Lung Cancer Treatment, Cancer Screening (Preventive)",https://www.yashodahospitals.com/doctor/hitec-city/surgical-oncology/dr-rajesh-goud-e/,Yashoda Hospital Hitec City
Dr. Rukmini Mridula Kandadai,"DNB, DM (Neurology)","Sr. Consultant Neurologist, Clinical Director- PDMDRC ( Parkinson’s Disease and Movement Disorders Research Centre)",26 Yrs,"Telugu, Tamil, Hindi, English",Hitec City,Day time OPD: MON – SAT : 10AM – 4PM,"Movement Disorders- Experience in managing Parkinsons disease as well as Parkinson plus syndrome, Part of the deep brain stimulation group with Prof Rupam, NIMS, with participation in over 1000 surger…","Management of Parkinsons Disease, Deep Brain Stimulation Programming, Apomorphine infusion, Botulinum toxin injections, Treatment of Movement Disorders including Parkinson’s plus syndromes, Huntingt…",https://www.yashodahospitals.com/doctor/hitec-city/movement-disorders/dr-rukmini-mridula-kandadai/,Yashoda Hospital Hitec City
Dr. S Srikanth Raju,"MBBS, MS (General Surgery), DNB (Vascular Surgery)",Sr. Consultant Vascular & Endovascular SurgeonClinical Director,16 Yrs,"English, Hindi, Telugu",Hitec City,Day time OPD: MON – SAT : 09:00 AM – 05:00 PM,"Endovascular and Open Vascular Cases, Thoracic Endovascular Aneurysmal Repair, Endovascular Abdominal Aortic Aneurysmal Repair, Fenestrated Endovascular Aortic Repair","Laser/RFA/Glue Therapy for Varicose Veins, DVT-Thrombolysis/Stenting, Carotid Artery Disease-Endarterectomy/Stenting, For Dialysis Patients-AV Fistula/Graft and its Salvage Procedures (Fistuloplasty/S…",https://www.yashodahospitals.com/doctor/hitec-city/vascular-surgery/dr-s-srikanth-raju/,Yashoda Hospital Hitec City
