name,qualification,speciality,experience,languages,location,opd_timings,expertise,services,profile_url,hospital
Dr. K. S. Somasekhar Rao,"M. D (Gen Med),D.M.(Gastro)",Sr.Consultant Medical Gastroenterologist & Hepatologist. Clinical Director.,19 Yrs,"English, Hindi, Kannada, Tamil, Telugu",Hitec City,Day time OPD: MON – SAT : 9:00 AM – 4:00 PM Evening OPD: MON – SAT : 4:00 PM – 5:00 PM,"Chronic Liver Diseases, GI Bleed, Chronic Hepatitis B and Hepatitis C, Inflammatory Bowel Disease","Treatment for, Heartburn, Abdominal Pain, Acute and Chronic Diarrhoea, Pancreatitis, Gallbladder Stones",https://www.yashodahospitals.com/doctor/hitec-city/gastroenterology/dr-k-s-somasekhar-rao/,Yashoda Hospital Hitec City
Dr. Kala Jeethender Jain,"MD (General Medicine), DM Cardiology (NIMS), FSCAI",Consultant Interventional Cardiologist,13 Yrs,"English, Hindi, Telugu",Hitec City,Day time OPD: MON – SAT : 10:00 AM – 4:00 PM,"Coronary and Peripheral Interventions: Performed and Interpreted more than 5,000 Coronary Angiograms, Percutaneous Transluminal Coronary Angioplasty: Performed more than 1000 cases (Left Main Stenting…",Services info not available,https://www.yashodahospitals.com/doctor/hitec-city/cardiology/dr-kala-jeethender-jain/,Yashoda Hospital Hitec City
Dr. Kartik Vedula,"MBBS, DM Infectious Diseases (AIIMS, Delhi)",Consultant Infectious Diseases,9 Yrs,"Telugu, Hindi, English",Hitec City,Day time OPD: MON – SAT : 09:00 AM – 05:00 PM,"PUO (Fever of Unknown Origin), Critical Care Infections, Infections in Immunocompromised Patients (HIV, Transplant, HSCT, PID), Drug Resistant TB & HIV","Management of, Prolonged Fever (Fever of Unknown Origin), Tropical Infections (Malaria, Dengue, Typhoid, Rickettsial Infections), HIV/AIDS, Tuberculosis, Hospital Acquired Infections (Drug Resi…",https://www.yashodahospitals.com/doctor/hitec-city/infectious-diseases/dr-kartik-vedula/,Yashoda Hospital Hitec City
Dr. Kirthi Paladugu,"MBBS, MS (Ortho), FIJR (Germany)","Sr. Consultant Joint Replacement & Arthroscopy Surgeon, Robotic & Navigation Joint Replacement  (FIJR, Germany), Arthroscopy Surgeon -Shoulder & Knee(Sports Medicine), Minimally Invasive Trauma Surgeon. Clinical Director",16 Yrs,"English, Hindi, Telugu",Hitec City,Day time OPD: MON – SAT : 9:00 AM – 4:00 PM,"Navigation and Robotic Joint Replacements , Minimally Invasive Surgeries , Joint Replacement Surgeries , Revision Hip and Knee Replacement, Shoulder Replacement , Pelviacetabular Surgeries","Surgical Expertise in Navigation and Robotic Joint Replacements, Minimally Invasive Trauma, Foot and Ankle Surgery, Arthroscopic (Keyhole) Surgeries for the Knee, Shoulder, Ankle and Elbow, Cartilage …",https://www.yashodahospitals.com/doctor/hitec-city/orthopaedics/dr-kirthi-paladugu/,Yashoda Hospital Hitec City
Dr. Krishnaveni Nayini,"MBBS, DGO, DFFP, MRCOG (UK), FRCOG, CCT (UK),Laparoscopic & Robotic Surgeon  Fellowship in Reprodoctive Medicine(UK)",Sr. Consultant Obstetrician & Gynaecologist,26 Yrs,"English, Telugu, Hindi, Kannada",Hitec City,Day time OPD: MON – SAT : 9:00 AM – 4:00 PM,"Labour Ward Management , Laparoscopic Surgeries , Managing Infertility Patients , Colposcopy Services , Hysteroscopic Surgeries , Family Planning Services","Caesarean Section/Vaginal Birth, Operative Vaginal Deliveries, Complex Perineal Repairs, Vaginal Birth After Caesarean (VBAC) Service, Colposcopy, Laparoscopy for Gynaecology Patients",https://www.yashodahospitals.com/doctor/hitec-city/gynaecology/dr-krishnaveni-nayini/,Yashoda Hospital Hitec City
Dr. L. Sudarshan Reddy,MD (General Medicine),Sr. Consultant PhysicianDepartment of Internal MedicineClinical Director,24 Yrs,"Telugu, English, Hindi",Hitec City,Day time OPD: Mon – Sat : 9.30 AM To 3.00 PM,"Infectious Diseases (Dengue, Malaria), Respiratory Tract Infections (Covid-19), Sepsis, Chronic Diseases (Diabetes, Hypertension, Thyroid, Cardiac Diseases), Medical Emergencies (Poisonings, Snake Bit…",Services info not available,https://www.yashodahospitals.com/doctor/hitec-city/general-medicine/dr-l-sudarshan-reddy/,Yashoda Hospital Hitec City
Dr. Lokesh Lingappa,"MD (Pediatrics – PGIMER), DM (Neurology – NIMHANS), MRCPCH (UK), Fellowship in Pediatric Neurology (UK)",Clinical Director & Lead Consultant – Child & Adolescent Neurologist  Division of Pediatric Neurosciences,21 Yrs,"English, Hindi, Telugu & Kannada",Hitec City,Day time OPD: MON – SAT : 10:00 AM – 05:00 PM,"Pediatric and adolescent neurology, Infantile epilepsy and neonatal neurological disorders, Childhood stroke and mineralizing angiopathy, Intensive care neurology","Child and Adolescent Neurology, Neonatal Neurological Disorders, Infantile Epilepsy, Intensive Care Neurology, Long Term Outcomes of Acute Neurological Disorders, Pediatric Neurology",https://www.yashodahospitals.com/doctor/hitec-city/pediatric-neurology/dr-lokesh-lingappa/,Yashoda Hospital Hitec City
Dr. M. Suneetha,"MBBS, MD, DNB, FRCR (UK)","Sr. Consultant Radiation Oncologist , Clinical Director.",25 Yrs,"English, Hindi, Telugu",Hitec City,Day time OPD: MON – SAT : 9:00 AM – 4:00 PM,"Gynecological Cancers, MR Interstitial Hybrid and Template Bracytherapy (Gynecological Cancers)","Advanced Radiation Oncology Treatments (IMRT, RapidArc, IGRT,  Adaptive Therapies, etc.), Image Guided Brachytherapy & IORT, Lung and Liver SBRT, Neuro Oncology (SRS/SRT), Reirradiation, Organ Preserv…",https://www.yashodahospitals.com/doctor/hitec-city/radiation-oncology/dr-m-suneetha/,Yashoda Hospital Hitec City
Dr. M. Vijaya Saradhi,"MCh (Neurosurgery), DNB (Neurosurgery)Ex Prof-NIMS",Senior Consultant Neurosurgery (Brain and Spine Surgeon),29 Yrs,"Telugu, English, Hindi, Urdu, Sanskrit",Hitec City,Day time OPD: MON – SAT : 9:00 AM – 4:00 PM,Expertise info not available,"Brain Tumors and Spinal Cord Tumors, Epilepsy Sterio EEG, Temporal Lobectomy, Hemispherotomy, Lesionectomy, Parkinsonism Deep Brain Stimulation, Trauma, Vascular Aneurysm Clipping, Arteriovenous Malfo…",https://www.yashodahospitals.com/doctor/hitec-city/neuro-surgery/dr-m-vijaya-saradhi/,Yashoda Hospital Hitec City
Dr. Mallikarjuna Reddy N,"MBBS, MS, MCh, DNB (Urology), Fellow European Board of Urology",Sr. Consultant Urology & Robotic SurgeryClinical Director,31 Yrs,"English, Hindi, Telugu, Marathi, Tamil, Kannada, Punjabi",Hitec City,Day time OPD: MON – SAT : 9:00 AM – 4:00 PM,"Robotic-Assisted Kidney Transplant, Robotic and Laparoscopic Paediatric Urology (Kidney and Bladder in Children), Robotic Surgery for Kidney, Bladder, and Prostate Cancer, Robotic and Laparoscopic Rec…","Adult UrologyRobotic-Assisted Kidney TransplantRobotic Surgery for Kidney, Bladder, and Prostate CancerRobotic and Laparoscopic Reconstructive SurgeryLaser Surgery f…",https://www.yashodahospitals.com/doctor/hitec-city/urology/dr-mallikarjuna-reddy-n/,Yashoda Hospital Hitec City
